Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,Platform,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,PowerPlan,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Payload,Mean,Error,StdDev,StdErr,Median,Gen 0,Gen 1,Gen 2,Allocated
Pfim,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,24bit-rle.tga,"5,083.1",12.69,11.87,3.065,"5,086.4",0.3967,-,-,312
FreeImage,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,24bit-rle.tga,"65,756.5",295.41,276.33,71.348,"65,774.6",258.6670,38.2080,4.3945,"5,361"
ImageMagick,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,24bit-rle.tga,"343,433.7","1,453.66","1,359.75",351.086,"343,242.8",17.0898,-,-,"13,844"
DevILSharp,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,24bit-rle.tga,"47,792.0",244.83,229.01,59.130,"47,781.5",0.1221,-,-,129
TargaImage,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,24bit-rle.tga,"400,910.1","1,966.48","1,839.45",474.943,"400,492.9",223.6328,42.4805,-,"343,195"
ImageFormats,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,24bit-rle.tga,"73,912.2",440.00,411.57,106.267,"73,907.6",71.4111,-,-,"58,819"
StbSharp,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,24bit-rle.tga,"183,514.6",745.64,622.64,172.690,"183,566.6",99.8535,-,-,"78,843"
TgaSharpLib,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,24bit-rle.tga,"306,642.7","1,122.34",994.93,265.905,"306,568.7",181.6406,22.4609,-,"232,323"
Pfim,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit-rle.tga,"5,646.1",21.58,19.13,5.112,"5,645.3",0.3967,-,-,312
FreeImage,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit-rle.tga,"71,086.5",234.51,219.37,56.640,"71,077.4",237.4268,37.8418,4.3945,"5,931"
ImageMagick,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit-rle.tga,"367,740.1","2,755.90","2,577.87",665.604,"368,384.4",17.0898,-,-,"13,844"
DevILSharp,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit-rle.tga,"60,654.3",205.16,171.31,47.514,"60,695.6",0.1221,-,-,129
TargaImage,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit-rle.tga,"473,837.9","1,869.52","1,748.75",451.526,"473,782.3",489.2578,1.9531,-,"402,542"
ImageFormats,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit-rle.tga,"78,168.0",690.26,645.67,166.712,"78,194.1",71.4111,-,-,"58,819"
StbSharp,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit-rle.tga,"202,750.0",676.82,633.10,163.466,"202,720.6",99.8535,-,-,"78,843"
TgaSharpLib,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit-rle.tga,"381,475.9","2,024.11","1,893.35",488.861,"381,245.1",230.4688,38.0859,-,"303,823"
Pfim,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit.tga,"3,655.9",20.21,17.92,4.789,"3,654.2",0.3967,-,-,312
FreeImage,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit.tga,"232,673.0","1,585.75","1,483.31",382.989,"232,769.9",245.1172,36.6211,3.4180,"5,716"
ImageMagick,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit.tga,"826,794.8","3,093.52","2,893.68",747.145,"827,199.5",16.6016,-,-,"13,840"
DevILSharp,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit.tga,"52,740.6",286.69,254.14,67.922,"52,743.4",0.1221,-,-,129
TargaImage,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit.tga,"540,789.9","2,678.54","2,505.51",646.920,"540,662.3",494.1406,-,-,"394,886"
ImageFormats,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit.tga,"56,515.9",406.05,379.81,98.068,"56,473.9",71.4111,-,-,"58,818"
StbSharp,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit.tga,"76,115.9",266.32,249.12,64.322,"76,089.1",99.9756,-,-,"78,844"
TgaSharpLib,Default,False,Default,Default,Default,Default,Default,Default,1111111111111111,Empty,RyuJit,X64,Clr,False,True,False,True,Default,Default,False,False,False,Default,Default,Default,Default,Default,Default,Default,Default,1,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,32bit.tga,"91,911.8",749.97,701.53,181.133,"91,953.1",130.4932,21.7285,-,"232,552"
